;recomendacao;preco_entrada;alvo_lucro;stop_loss;justificativa_tecnica;data;count
0;aguardar;0.00;0.00;0.00;"O ativo encontra-se em fase de consolidação após forte tendência de alta: • As Bandas de Bollinger estreitaram, sinalizando contração de volatilidade (‘squeeze’) e indicando que o mercado aguarda um gatilho para romper. • O preço oscila próximo da média de 20 períodos (linha amarela) e dentro da banda intermediária, sem direção definida. • O RSI está na região neutra (~50), sem evidência de sobrecompra ou sobrevenda, reforçando a ausência de momentum. • O MACD segue abaixo da linha de sinal e em terreno ligeiramente negativo, sugerindo que o fluxo comprador ainda não retomou o controle. • Não há figura de reversão ou continuação confirmada, nem rompimentos de suportes ou resistências relevantes (resistência imediata ≈152; suporte ≈136). Diante de sinais contraditórios e baixa convicção direcional, a probabilidade-risco não justifica entrada neste momento; o cenário exige aguardar rompimento convincente (fechamento + volume) acima de 152 para compra ou abaixo de 136 para venda/short.";2020_10_11;0
1;comprar;158.00;172.00;148.00;O ativo passou por uma congestão lateral entre 138-156 após forte tendência de alta. No momento o preço trabalha acima da média móvel curta, encostado na banda superior de Bollinger, sugerindo pressão compradora. O RSI sustenta-se acima de 50 e inclinado para cima, sem estar sobrecomprado, indicando retomada de momentum. O MACD apresenta barras negativas cada vez menores e aproximação das linhas para um possível cruzamento altista, reforçando a reversão positiva. Uma compra somente será acionada no rompimento definitivo da resistência de 156/157, com alvo no topo histórico (≈172). O stop fica logo abaixo do último fundo e da média (≈148), protegendo contra false-break. O risco-retorno estimado é de ~1,4:1, considerado adequado em cenário de continuação da tendência principal.;2020_10_18;0
2;vender;145.00;130.00;154.00;O preço voltou a operar abaixo da média móvel de 20 períodos (linha laranja) e da banda média de Bollinger, sinalizando perda de força compradora. A Bollinger começa a se fechar, sugerindo possível expansão de volatilidade para baixo. O MACD está negativo e as linhas seguem abertas para baixo, confirmando momentum vendedor. O RSI recuou para a faixa de 40–45, abaixo da linha de equilíbrio (50) e ainda distante da região de sobrevenda, o que indica espaço para queda adicional. O ponto de entrada sugerido (≈145) coincide com a violação recente da média, enquanto o alvo de lucro (≈130) mira o suporte formado na banda inferior e no fundo anterior. O stop loss (≈154) está acima da máxima recente e da resistência imediata, preservando relação risco/retorno superior a 1:1.;2020_10_25;0
3;vender;144.00;128.00;152.00;O ativo perdeu força após testar a região próxima à banda superior de Bollinger e formou candle de reversão baixista logo acima da média móvel de 20 períodos, sugerindo perda de suporte dinâmico. O RSI recuou de zona de sobrecompra para abaixo de 55, indicando enfraquecimento do momentum comprador, enquanto o MACD mostra cruzamento de linha rápida abaixo da lenta e histograma em declínio, reforçando viés vendedor. A perda da média de 20 períodos expõe espaço para correção até a banda inferior (≈ 128). Stop acima do topo recente (≈ 152) preserva relação risco/retorno favorável.;2020_10_4;0
4;vender;132.00;112.00;142.00;O preço perdeu a média móvel de 20 períodos e fechou abaixo da banda inferior de Bollinger, indicando início de expansão de volatilidade para baixo (break-out baixista). O RSI rompeu a linha dos 30, confirmando força vendedora sem sinal de divergência positiva relevante. O MACD está cruzado para baixo, com histogramas negativos e em expansão, reforçando a tendência de aceleração da queda. Não há suportes relevantes até a região de ~112, onde há fundo anterior e coincidem 38,2% de Fibonacci da última perna de alta. O stop foi posicionado acima de 142, nível que recolocaria o preço dentro das bandas e acima da média, invalidando o setup. Relação risco/retorno aproximada de 1:2.;2020_11_1;0
5;aguardar;0.00;0.00;0.00;O ativo encontra-se em consolidação lateral entre ~128 e ~160 após forte rali. O candle atual trabalha próximo à banda inferior de Bollinger e abaixo da média curta (20 períodos), sugerindo fraqueza de curto prazo. O RSI oscila na zona neutra (≈45) sem sinal de sobrevenda, enquanto o MACD permanece abaixo da linha zero e ainda sem cruzamento de compra, indicando ausência de momentum positivo. A banda de Bollinger vem estreitando, o que aumenta a probabilidade de um movimento direcional, porém ainda não há rompimento confirmado nem sinal claro de reversão. Diante da falta de convergência de indicadores e do risco simétrico de rompimento para baixo ou para cima, a estratégia mais prudente é aguardar definição (break-out acima de 152 para compra ou abaixo de 128 para venda) antes de assumir posição.;2020_11_15;0
6;aguardar;0.00;0.00;0.00;"O preço rompeu recentemente a zona de congestão (≈152) com forte expansão de volatilidade, fechando várias barras acima da banda superior de Bollinger. Apesar do viés altista reforçado pelo MACD em franca aceleração e pela média curta inclinada para cima, o movimento já se encontra esticado: a distância em relação à média de 20 períodos é elevada, o RSI está em sobrecompra (>70) e começa a curvar-se, sinalizando risco de exaustão de curto prazo. O ponto de entrada imediato oferece relação risco/retorno desfavorável; a probabilidade de pullback para a região de antigo topo/apoio (150–156) é alta. Assim, a orientação é aguardar recuo ou nova congestão que restabeleça melhor assimetria antes de posicionar-se.";2020_11_22;0
7;comprar;192.00;216.00;178.00;O ativo rompeu, com convicção, a resistência anterior em torno de 165-170, iniciando movimento de expansão de bandas de Bollinger (squeeze-break), típica condição de ‘trend-run’. A média curta (20 períodos, linha amarela) está ascendendo e bem afastada do preço, confirmando aceleração de tendência. MACD cruzado para cima há algumas barras e com histograma em forte expansão positiva sinaliza momentum comprador sustentado. O RSI opera acima de 70, indicando sobrecompra, mas em contextos de rompimento tende a representar força – não exaustão – até surgir divergência, que ainda não existe. A estratégia proposta é compra na continuação em ~R$ 192, com stop técnico abaixo do último candle de consolidação/mínima recente (R$ 178) e alvo projetando a amplitude do rompimento (aprox. 1,5× risco) em R$ 216.;2020_11_29;0
8;aguardar;0.00;0.00;0.00;"O papel se encontra em consolidação há diversas semanas, oscilando dentro de um retângulo bem definido entre ~128 (suporte) e ~152 (resistência). Os candles atuais permanecem no interior desse range e ainda não houve rompimento convincente.

– Bollinger Bands: bandas estreitando, sinal de contração de volatilidade; preço próximo à média central, sem força direcional.
– RSI: saiu da região de sobrevenda, mas trava próximo de 50, patamar neutro; ausência de divergências claras.
– MACD: histograma reduzindo a pressão vendedora, mas a linha MACD ainda abaixo da sinal, sem cruzamento positivo confirmado.

Sem confirmação de rompimento nem sinal de reversão claro, a probabilidade favorece a continuidade da lateralização no curto prazo. Portanto, o cenário técnico indica aguardar por:
• Compra somente acima de 152/153 com volume para buscar 168–172.
• Venda/short somente abaixo de 128 com alvo em 112–115.

Enquanto isso, manter-se fora evita exposições desnecessárias a movimentos erráticos dentro do range.";2020_11_8;0
9;aguardar;0.00;0.00;0.00;"O ativo mantém viés primário de alta (preço acima da média móvel de 20 períodos e banda superior ainda inclinada para cima), porém apresenta sinais consistentes de perda de momentum: (i) RSI recuou da região de sobrecompra (>70) e segue descendente sem ainda ter atingido área de sobrevenda, indicando correção em andamento; (ii) MACD continua positivo, mas o histograma vem reduzindo-se há vários candles e as linhas MACD e sinal estão prestes a cruzar para baixo, sugerindo provável enfraquecimento da força compradora; (iii) último pullback rompeu a banda superior e retornou rapidamente para dentro das Bollinger, configurando ‘throwback’ que eleva o risco de correção até a média central (≈ 180) ou mesmo à banda inferior. Nesse contexto, não há ponto de entrada com relação risco/retorno atrativo para compra, nem confirmação de reversão para venda a descoberto. Aguardamos novo sinal de força compradora (ex.: candle de reversão próximo à média de 20 e retomada do RSI) ou confirmação de cruzamento de MACD/fechamento abaixo da média para eventual venda. Enquanto isso, a recomendação é aguardar.";2020_12_13;0
