;recomendacao;preco_entrada;alvo_lucro;stop_loss;justificativa_tecnica;data;count
0;aguardar;155.00;170.00;140.00;O preço encontra-se em consolidação na média móvel e no meio das Bandas de Bollinger, com RSI próximo de 50 (neutro) e MACD abaixo da linha de sinal, mostrando falta de viés definido. Sem um rompimento claro acima da resistência em torno de 155,0 é preferível aguardar confirmação de força compradora. Em caso de breakout acima de 155,0 o próximo alvo técnico fica em 170,0, com stop fixado abaixo do suporte imediato em 140,0 para controle de risco.;2020_10_11;0
1;aguardar;150.00;160.00;145.00;"O ativo está em consolidação lateral após repique de preço de R$ 115 para R$ 155; as Bandas de Bollinger estão se estreitando, indicando baixa volatilidade e indecisão. O RSI recuou de região neutra-alta (próximo a 70) para cerca de 60, sem sinal claro de sobrecompra ou sobrevenda. O MACD está praticamente flat, com as linhas próximas de um cruzamento neutro. Sem rompimento definido de suporte ou resistência, o cenário favorece aguardar por confirmação de uma saída do range (acima de R$ 155 para buscar novas máximas ou abaixo de R$ 145 para reversão) antes de assumir posição.";2020_10_18;0
2;aguardar;148.00;156.00;142.00;O ativo está em fase de congestão com as Bandas de Bollinger se contraindo (squeeze) e o preço próximo à média móvel de 20 períodos, indicando indefinição. O RSI encontra-se em zona neutra, sem sobrecompra ou sobrevenda, e o MACD ainda não apresentou um cruzamento definitivo de alta. Aguardamos um rompimento claro acima de R$148,00 para confirmação de continuidade de alta, com alvo na próxima resistência em R$156,00 e stop loss posicionado abaixo do principal suporte em R$142,00.;2020_10_25;0
3;aguardar;150.00;160.00;137.00;O preço se encontra em consolidação próxima à média móvel de 20 períodos, com Bollinger Bands afinando, sinalizando baixa volatilidade e indecisão no mercado. O RSI está neutro (~50) e o MACD segue abaixo da sua linha de sinal, sem impulso de alta definido. Aguarda-se um rompimento claro acima de 150,00 com volume, para só então entrar comprado visando o próximo topo em 160,00. O stop em 137,00 protege contra pivôs de baixa invalidando o padrão de suporte atual.;2020_10_4;0
4;vender;136.00;125.00;143.00;O preço rompeu abaixo da média móvel de 20 períodos (linha amarela) e da banda inferior de Bollinger, mostrando fraqueza no movimento. O RSI está em região de baixa (próximo a 30) sem sinal de reversão, e o MACD apresenta crossover negativo com histograma crescente para baixo, indicando incremento da pressão vendedora. Considerando o rompimento de suporte e o viés baixista de curto prazo, a operação de venda busca capturar a continuidade do movimento de queda, com stop acima da resistência em torno de 143 e alvo no próximo suporte em cerca de 125.;2020_11_1;0
5;aguardar;145.00;155.00;138.00;O ativo encontra‐se em consolidação lateral com Bandas de Bollinger estreitas, média móvel plana, RSI neutro (~50) e MACD levemente negativo. Ausência de viés direcional claro indica baixa probabilidade de movimento expressivo no momento. Sugere-se aguardar o rompimento definitivo da resistência (≈145) para entrada comprada, com alvo em 155 e stop abaixo do suporte recente em 138.;2020_11_15;0
6;aguardar;155.00;172.00;149.00;O preço disparou acima da média móvel de 20 períodos e banda superior de Bollinger, com RSI em ~75 indicando condição de sobrecompra e histograma do MACD exibindo pico de impulso. Diante do forte estiramento e sem padrão de confirmação de continuidade, é preferível aguardar um pullback até a zona de suporte (próximo à MME20 em ~155) para melhorar a relação risco/retorno antes de iniciar posição.;2020_11_22;0
7;aguardar;155.00;200.00;145.00;A recomendação se baseia em um forte rompimento acima da banda superior de Bollinger com expansão de volatilidade e MACD em forte viés de alta, mas o RSI encontra-se em níveis de sobrecompra (>75), o que sugere maior probabilidade de pullback de curto prazo. Recomenda-se aguardar a retração até o suporte dinâmico na média móvel de 20 períodos (próximo a 155) para otimizar o ponto de entrada, com stop-loss abaixo desse nível e alvo de lucro na zona do topo histórico, em torno de 200.;2020_11_29;0
8;comprar;144.00;152.00;136.00;O preço formou um fundo próximo à banda inferior de Bollinger e ao suporte em ~136, com posterior rompimento da média móvel de 20 períodos. O RSI saiu de região de sobrevenda e já se aproxima de 50, indicando recuperação de momentum. O MACD apresentou cruzamento de alta com histograma virando positivo. Esses sinais apontam para probabilidade maior de continuação de alta no curto prazo.;2020_11_8;0
9;comprar;190.00;225.00;180.00;O preço está em forte tendência de alta mantendo-se acima da média móvel de 20 períodos (Bollinger mid-band), que coincide hoje em torno de R$185–190 e atuou como suporte na última correção. O RSI recuou dos níveis de sobrecompra mas ainda se mantém acima de 50, sinalizando espaço para continuidade do movimento ascendente. O MACD, embora com histograma encolhendo, segue acima da linha de sinal e da zona zero, confirmando viés positivo. Risco-retorno favorável ao comprar no suporte mediobanda com stop levemente abaixo da MM20 e alvo na região de novo topo em R$225.;2020_12_13;0
